text,news_link,label,gpt_4_label,Christoph
"And, of course, along the way, the hipster CEO is absolved of any responsibility to help uphold good cultural order.",http://feedproxy.google.com/~r/breitbart/~3/h_wTCa6-K54/,0,1,1
Disney’s executives stopped advertising on Tucker Carlson’s television show as he repeatedly urged President Donald Trump to shut down their pipeline of H-1B visa workers into the white collar jobs that would otherwise go to Americans.,http://feedproxy.google.com/~r/breitbart/~3/HmECV-FiHts/,0,1,1
"n Dr. King's day, that other America was, for a time, laid bare to the nation through mass social unrest and political change, through the bold actions of the freedom fighters who won the Voting Rights Act and then just kept on fighting, as well as governmental programs like the ""War on Poverty.""",https://www.alternet.org/2020/11/joe-biden-mitch-mcconnell/,1,0,1
"Few would consider a global pandemic reason to celebrate. In fact, many people are suffering, such as those out of work or others who were near retirement and now thrust back into a grueling role. But the pandemic does provide all of us an opportunity to rethink our life philosophies, and reorder our priorities.",https://thefederalist.com/2020/05/29/heres-what-we-gain-by-embracing-the-disappointments-of-coronavirus/,1,0,1
"U.S. President Donald Trump pledged on Wednesday to deliver a better healthcare system than Obamacare if the Supreme Court tosses out his predecessor’s signature domestic achievement, a potentially hazardous claim as he seeks re-election.",https://www.reuters.com/article/us-usa-trump-healthcare/trump-says-he-can-produce-a-better-healthcare-plan-than-obamacare-idUSKCN1R82EE,0,1,1
"As the debt crisis unfolds, the idea of allowing social science to drive public policy, even if it were somehow affordable, will prove increasingly objectionable.",https://thefederalist.com/2020/01/16/how-americas-looming-debt-crisis-could-spark-the-next-great-awakening/,0,1,1
"In a tweet, which he quickly deleted, the president shared the now-viral clip while blaring: “WOW, BLOOMBERG IS A TOTAL RACIST!”",http://feedproxy.google.com/~r/thedailybeast/articles/~3/kDWo0tb3FEA/trump-world-hammers-bloomberg-for-racism-that-trump-previously-said-himself,1,0,0
"As leading 2020 Dems advocate spending big on the Green New Deal, it turns out most Americans are worried about other issues.",https://www.foxnews.com/politics/despite-green-new-deal-push-climate-change-not-a-high-priority-for-people-in-2019,0,1,1
The legislation ends criminal penalties for self-abortion and – in the case of an unborn baby who is the victim of a homicide – defines “person” as “a human being who has been born and is alive.”,https://www.breitbart.com/politics/2019/01/07/hillary-clinton-joins-ny-gov-andrew-cuomo-in-push-for-very-late-term-abortions/,1,0,1
"Over four years later, she and her daughter are coping with the lingering trauma from the wildfire’s apocalyptic smog, heat, and destruction.",https://www.thedailybeast.com/climate-disaster-trauma-is-rewiring-our-brains-into-something-alarmingly-worse,1,0,1
"Trump blasts report on his business losses, calls accounting a 'sport'",https://www.reuters.com/article/us-usa-trump-taxes-sport/trump-blasts-report-on-his-business-losses-calls-accounting-a-sport-idUSKCN1SE1K5?feedType=RSS&feedName=topNews,1,0,1
"The idea behind the conspiracy is that these miracle vaccines — and they are medical miracles — can cause autism, when there is no data to back that up.",https://www.breitbart.com/the-media/2019/06/24/huffpo-to-delete-jim-carrey-jenny-mccarthy-other-anti-vaccine-posts/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,1,0,1
The deputy commissioner of Kolkata Police eventually apologized for the bloodying of students - many of whom were women - and argued that tensions had risen too quickly.,https://www.foxnews.com/world/violent-clashes-india-civil-unrest?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A%20foxnews%2Fworld%20%28Internal%20-%20World%20Latest%20-%20Text%29,1,0,1
"“Yes, this country is being swamped by would-be immigrants, and a mature polity would address the problem with sensible reforms,” Charen argues. “",https://www.alternet.org/former-reagan-speechwriter-rips-greg-abbott-for-his-cruel-and-heartless-immigration-stunts/,0,1,0
"Even before jumping into the presidential race, Biden had showcased a taste for luxury air travel. ",https://www.breitbart.com/politics/2019/07/17/middle-class-joe-biden-spent-more-than-256k-on-private-plane-travel/,0,1,1
Oluo says she was besieged by racist attacks on Twitter and Facebook.,http://rssfeeds.usatoday.com/~/421193298/0/usatoday-newstopstories~Black-activist-says-she-was-censored-by-Facebook-for-calling-out-racism/,1,0,1
"The antifa movement — a network of loosely organized radical groups who use direct action to fight the far-right and fascism — has been targeted by President Donald Trump as the force behind some of the violence and property destruction seen at some protests, though little evidence has been provided for such claims.",https://www.msn.com/en-us/news/us/white-nationalist-group-posing-as-antifa-called-for-violence-on-twitter/ar-BB14TEcg?li=BBnbcA1,0,1,1
"The truth is that, in the face of a challenge as immense as climate change, government action is necessary if we want to ensure that our planet remains livable for future generations.",https://www.nbcnews.com/think/opinion/jeff-bezos-climate-change-philanthropy-has-quite-few-hidden-strings-ncna1143791?cid=public-rss_20200228,0,1,1
Conway recycled a right-wing talking point that falsely claims a bill designed to loosen certain restrictions on late-term abortions in Virginia is “infanticide” during her Monday appearance on “Outnumbered Overtime with Harris Faulkner.”,https://feeds.feedblitz.com/~/595743792/0/alternet_all~Watch-Kellyanne-Conway-threatens-to-%e2%80%98perform%e2%80%99-abortions-%e2%80%98with-a-gun%e2%80%99-on-feminists-in-newly-resurfaced-video/,1,0,1
"But few people who describe themselves as transgender wish to live as members of the opposite sex, and even fewer wish to undergo cosmetic surgery.",https://www.breitbart.com/politics/2019/02/28/pentagon-shuts-down-democrats-demand-for-transgender-military/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,0,1,1
"But Bannon — the former Harvard Business School grad, Goldman Sachs managing director, and Hollywood mogul — cast California as a linchpin in the fight to halt the spread of what he called the globalist and elitist agenda. He urged Republicans to organize, rise up — and put up a fight to hold on to California House seats that are considered vulnerable in 2018.",https://www.politico.com/story/2017/10/21/steve-bannon-california-gop-george-bush-silicon-valley-244015,1,0,1
"As millions of Americans await the $1,200 cash payments authorized by the latest coronavirus stimulus package, experts and progressive advocates are condemning a move by the Trump administration which would force millions of seniors, veterans, and people with disabilities to jump through unnecessary hoops to receive money they are entitled to under law.",https://www.alternet.org/2020/04/trump-throws-up-outrageous-roadblock-for-seniors-and-people-with-disabilities-in-need-of-relief-funds/,0,1,1
"China’s Communist party government demonstrated its sensitivity about Covid’s origin, with state-run media outlet the Global Times issuing a warning to Elon Musk not to risk his relationship with China, after he sent tweets discussing the Department of Energy report on the lab leak theory.",https://www.theguardian.com/us-news/2023/feb/28/fbi-director-endorses-china-lab-leak-covid-theory,0,1,1
"Mack’s organization—which has a long history of association with the Bundys—claims that the U.S. constitution grants sheriffs, and not federal or state officers, powers as the supreme law of the land. ",https://www.alternet.org/2020/05/how-a-constitutionalist-oregon-sheriff-rules-his-rural-county-like-a-personal-fiefdom/,1,0,1
"A trio of polls released ahead of Wednesday’s Democratic presidential debate showed a majority of Americans support Medicare for All, but offered conflicting signals about whether the proposed healthcare overhaul could hurt the party in the November 2020 general election.",https://www.reuters.com/article/us-usa-election-debate-healthcare/healthcare-tangles-in-democratic-white-house-race-could-carry-risk-in-2020-polls-show-idUSKBN1XU16M?feedType=RSS&feedName=topNews,1,0,1
"Given a certain level of mistrust, here are several public information topics for which we should remain on high alert for quackery.",https://www.alternet.org/2020/03/trump-white-house-unleashes-a-dangerous-virus-of-misinformation/,1,0,1
"Republicans, however, are likely to vehemently oppose the plan to tax the wealthy.",https://www.foxbusiness.com/financials/key-democrat-pushes-new-tax-on-wealthy-targeting-unrealized-capital-gains,1,0,1
Bernie Sanders Claims Medicare for All Will Save Americans ‘Substantial Sums’,http://feedproxy.google.com/~r/breitbart/~3/oPbR4QUUV6A/,1,0,1
"Staten Island Ferry passengers are being endangered by rampant sexual harassment of employees on the boats, one skipper claims.",http://nypost.com/2017/01/29/ferry-passengers-endangered-by-sexual-harassment-of-employees-suit/,1,0,1
Oprah Schools Instagram Hater With Receipts After Student Loan Diss,https://www.huffpost.com/entry/oprah-schools-instagram-hater-with-receipts-after-student-loan-diss_n_5ce2dabbe4b0e69c18efe3e2,0,1,1
"This was not the president’s first gesture of warmth in the wake of Limbaugh’s sad revelation. The president took to Twitter to cheer him on, saying, “Many people do not know what a great guy & fantastic political talent the great Rush Limbaugh is. There is nobody like him. Looking for a speedy recovery for our friend!”",https://thefederalist.com/2020/02/07/4-ways-donald-trump-owes-his-presidency-to-rush-limbaugh/,1,0,1
"In the seven years since, Warren has become the most active politician in America when it comes to investigating, transforming and eliminating student debt.",https://www.huffpost.com/entry/elizabeth-warren-has-a-plan-for-that_n_5d279e9ee4b0060b11e9a22e,0,1,0
"Those fighting for Black racial equality in Britain need to put realistic reform over dreams of revolution, said Imarn Ayton, an activist who has had a prominent role in protests that swept London in recent weeks.",https://www.reuters.com/article/us-minneapolis-police-protests-britain/reform-not-revolution-is-path-to-black-equality-says-uk-activist-idUSKBN23W19Q?utm_medium=Social&utm_source=twitter,1,0,1
"For years, people opposed to vaccines have flooded Hotez’s social media accounts, calling him a shill for the pharmaceutical industry, though he’s never been paid by a drugmaker. ",https://www.nbcnews.com/health/kids-health/anti-vaccine-groups-take-dangerous-harassment-offline-real-world-n1096461,1,0,1
"But in an age when anti-vaccine conspiracy theories travel far and wide online and many parents are afraid of taking their pediatrician’s advice, Kentucky’s loose vaccination laws directly incentivize parents to follow Bevin’s lead.",https://www.alternet.org/2019/03/this-gop-governor-just-said-he-deliberately-infected-his-children-with-chickenpox-while-defending-vaccine-exemptions/,0,1,1
"So if you decided a career in art history was worth the price, it shouldn’t be the government’s job to pay the bill for your student loans––even if it’s not your fault that the cost of college has exploded in recent years.",https://thefederalist.com/2018/03/19/student-debt-crisis-students-fault-shouldnt-get-bailout/,0,1,1
"Trump, who has been accused of intentionally stoking racial tensions as part of his re-election campaign, has criticized the desecration and removal of statues of Confederate and other former U.S. leaders to energize his political base",https://www.reuters.com/article/us-global-race-usa-pentagon/pentagon-issues-de-facto-ban-on-confederate-flag-at-military-bases-idUSKCN24I23K?utm_medium=Social&utm_source=twitter,0,1,1
"The New York Times described Sunday’s nationwide riots as a wave of police violence against “protesters and bystanders,” even as law enforcement abandoned large urban areas to rioters and looters who ran amok for hours.",http://feedproxy.google.com/~r/breitbart/~3/B0iqqthw_uw/,0,1,0
"A group of 20 wealthy individuals – including left-wing financier George Soros – signed a letter Monday, begging for a wealth tax and arguing that the U.S has a “moral, ethical, and economic responsibility” to tax wealthy individuals more.",https://www.breitbart.com/politics/2019/06/24/soros-linked-group-of-wealthy-individuals-pen-letter-begging-for-a-moderate-wealth-tax/,0,1,1
"U.S. firearms makers will be able within days to export as much as 20% more guns, including assault rifles and ammunition, under rules the Trump administration announced on Friday.",https://www.reuters.com/article/us-usa-firearms-export/u-s-eases-firearms-export-rules-officials-say-idUSKBN1ZG26F?il=0,1,0,0
What’s needed at PNW is new leadership—both at the chancellor level as well as at the Board of Trustees level.,https://www.thedailybeast.com/refusing-to-forgive-institutional-racism-is-not-cancel-culture,0,1,1
"When the Muslim ban was first enacted, it triggered chaos at airports and prompted widespread protest and legal challenges, and it continues to impose devastating costs on families and people who wish to come to the U.S.",https://www.alternet.org/2020/02/conservative-magazine-denounces-trumps-cruel-expansion-of-his-muslim-ban/,1,0,1
The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.,https://www.breitbart.com/politics/2020/03/22/democrats-block-senate-coronavirus-package/,1,0,1
